Age,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,Music,GradeClass
0.3333333333,0.6666666667,0,0.1100912513,0.4137931034,1,1,4
0.6666666667,0,0.25,0.9484641291,0.7586206897,0,1,4
1,0,0.5,0.4237917765,0.4482758621,0,0,4
0.6666666667,0,0,0.009268091159,1,1,0,4
1,0,0.25,0.4428493575,0.8620689655,0,0,4
1,0,1,0.04606919435,0.6896551724,0,1,4
0,0,1,0.5444501605,1,0,0,4
0.6666666667,0,0.25,0.3388902969,0.3103448276,1,0,2
0,1,0,0.4739262384,0.7931034483,0,0,4
0.6666666667,0.3333333333,0.25,0.61382226,0.3448275862,0,1,4
0.6666666667,0,0.25,0.8697468498,0.4137931034,0,1,3
0,0.3333333333,0.75,0.6626095251,0.3793103448,0,0,3
0,0,0.25,0.4344948653,0.275862069,0,0,3
0.6666666667,0,0.5,0.8203168468,0.1034482759,1,0,1
0.3333333333,0.3333333333,0.25,0.9065701786,0.2068965517,1,0,1
1,0,1,0.1198446997,0.7931034483,0,0,4
0,0,0.25,0.5324915302,0.9655172414,0,0,4
1,1,0.5,0.2847860771,0.724137931,1,1,4
0.3333333333,0.6666666667,0.25,0.04706238468,0.03448275862,0,1,1
0.3333333333,0.3333333333,0.5,0.6692622635,0.2068965517,0,0,2
0.3333333333,0.3333333333,0.25,0.8637096182,0.9655172414,0,1,4
0,0.3333333333,0.25,0.1630369909,0.275862069,0,0,2
0.3333333333,0,0.75,0.8132945842,0.1379310345,1,0,1
0,0,0.75,0.8543237919,0.4827586207,0,1,3
0.3333333333,0,0.75,0.915338546,0.5862068966,0,0,4
1,0,0.5,0.2655371265,0.1034482759,0,0,2
1,0.3333333333,0.75,0.9049392059,0.6206896552,1,0,3
0.6666666667,0,0,0.3209784314,0.6551724138,0,0,4
1,1,0.25,0.5529199851,0.8620689655,0,0,4
0.6666666667,1,0.25,0.05051259604,0.2068965517,0,0,3
1,0.6666666667,0.5,0.04387862925,0.8620689655,0,0,4
0,0.3333333333,0.25,0.7211483365,0.2413793103,0,0,2
1,0.6666666667,0.25,0.4449380056,0.5517241379,0,0,4
0.6666666667,0,0.5,0.2565340896,0.4137931034,0,0,3
0.6666666667,0.6666666667,0.75,0.1905794638,0.7931034483,0,0,4
0.3333333333,0,0.25,0.6706706805,0.6896551724,1,1,4
0,0.6666666667,0.25,0.0003491008201,0.9310344828,0,1,4
1,0,0.25,0.8067645868,0.7586206897,0,1,4
0.3333333333,0.6666666667,0.25,0.07928778427,0.3448275862,0,1,3
1,1,0.25,0.1916568008,0.8965517241,0,0,4
1,0,0.5,0.3866274563,0,0,0,0
0.3333333333,0,0.5,0.4853631697,0.03448275862,1,0,0
0.3333333333,1,0.5,0.3553502454,0.5517241379,1,0,3
0.3333333333,0,0.25,0.3210278882,0.1379310345,0,0,2
0.3333333333,0.6666666667,0.75,0.9649710815,1,0,0,4
0.3333333333,0.3333333333,0.25,0.6422642657,1,0,1,4
1,0,0.5,0.02340697472,0.1724137931,0,0,2
0.3333333333,0,0.75,0.4306174634,0.8620689655,0,1,4
0,0,0.25,0.8759615853,0.8275862069,0,0,4
0.6666666667,0.6666666667,0.25,0.301749804,0.7931034483,1,0,4
0.3333333333,0,0.75,0.09461212892,0.2068965517,0,1,2
0.3333333333,0.3333333333,0.25,0.7592035796,0.9310344828,0,0,4
1,0,0.5,0.6066575338,0.6896551724,1,0,4
0.3333333333,0.3333333333,0,0.5709151462,1,0,0,4
0.3333333333,0.6666666667,0.5,0.05358522387,0.4827586207,0,1,3
0.3333333333,1,0.25,0.1406075886,0.6206896552,0,0,4
1,0,0,0.623212091,0.5172413793,0,0,4
0.3333333333,0.6666666667,0.5,0.2080098265,0.8275862069,1,0,4
0.6666666667,0.6666666667,0.25,0.5045966026,0.4137931034,1,0,2
1,0.3333333333,0.25,0.5454551143,0.1379310345,1,0,1
0.6666666667,1,0,0.2837801722,0.06896551724,1,1,0
1,0,0.25,0.9494624253,0.06896551724,0,0,1
0.3333333333,0,0.25,0.8433795763,0.6206896552,1,1,4
0.6666666667,0.6666666667,0,0.7231509357,0.4482758621,1,0,3
1,0,0.75,0.07803059082,0.5172413793,0,0,4
0,0.6666666667,0,0.1061990825,0.724137931,0,1,4
0.3333333333,0.6666666667,0.5,0.4932948765,0.5517241379,0,0,4
1,0,0.25,0.1608451744,0.8965517241,0,0,4
0,0.6666666667,0.25,0.9793370258,0.1034482759,0,1,0
1,0,0.75,0.1586495535,0.4137931034,1,0,3
0,0.3333333333,0.25,0.4879752688,0.2413793103,1,1,2
0.3333333333,0.3333333333,1,0.3644866854,0.6206896552,0,0,4
0.6666666667,1,0.25,0.6400684446,0.1379310345,0,0,1
0,0,0.5,0.1291318127,0.03448275862,1,1,1
1,0,0.5,0.430758175,0.4827586207,0,0,2
0.3333333333,0.3333333333,0.75,0.2749679044,0.03448275862,0,0,0
0,0.6666666667,0.5,0.8887190328,0.3448275862,1,0,2
1,0.3333333333,0.5,0.04057944129,0.4137931034,1,0,3
1,0,0.25,0.9147248914,0.7586206897,1,0,4
1,0,0.25,0.8338987408,0.3103448276,0,0,3
0,0,0.75,0.2978598378,0.06896551724,0,0,1
0,0.6666666667,0.25,0.790145005,0.1379310345,1,0,0
0,0,0.25,0.03119651828,0.06896551724,0,0,3
0.6666666667,0,0.5,0.967924022,0.1724137931,1,0,1
0,1,0.25,0.5271473442,0.4137931034,0,0,3
0,0,1,0.3035767516,0.3103448276,0,0,3
0,1,0.5,0.3629470677,0.6206896552,0,1,4
0.6666666667,0.3333333333,0.5,0.06642877019,0.2413793103,0,0,2
0,0.6666666667,0.75,0.9904338166,0.5862068966,1,0,3
1,0,0,0.03928420416,0.06896551724,0,0,1
0,0,0.25,0.6556069852,0.7931034483,1,0,4
1,0.6666666667,0.5,0.4431919508,0.7931034483,1,0,4
1,0.6666666667,0.25,0.9499540397,0.5517241379,0,1,3
1,0.6666666667,0.5,0.2462296085,0.2413793103,1,0,3
0.6666666667,0,0.75,0.5326455069,0.3103448276,0,0,2
0.6666666667,0.6666666667,0.5,0.4828577431,0.03448275862,1,0,0
0.6666666667,0.6666666667,0.25,0.703621463,0.3793103448,0,0,3
0,0.3333333333,1,0.06803551498,0.7586206897,0,0,4
1,0.6666666667,0.5,0.193958994,0.1724137931,0,0,2
0.6666666667,0.6666666667,0.5,0.214758525,0.03448275862,0,1,2
0.6666666667,0.3333333333,0.25,0.7389463212,0.6896551724,1,0,4
0,0,0.75,0.1893031985,0.7586206897,0,0,4
0.6666666667,0,0.5,0.5740980507,0.7931034483,0,0,4
0,0,0.5,0.2154383055,0.06896551724,0,0,1
0.3333333333,0,0.75,0.8625624511,0.5517241379,1,0,2
0.6666666667,0,0.25,0.9432155529,0.9655172414,0,1,4
0.3333333333,0,0.5,0.5190360312,0.2068965517,0,0,2
0,0,0.75,0.3526609577,0.9655172414,0,0,4
1,0,0.25,0.2342739316,0.6896551724,0,0,4
0.6666666667,0.6666666667,0.5,0.049785311,0.1379310345,1,0,1
0,1,0.75,0.268755822,0.7586206897,1,0,4
1,0,0.5,0.6549349135,0,1,1,0
1,1,0.5,0.5341774158,0.2413793103,0,0,2
0.3333333333,0.3333333333,0.75,0.9450735362,0.3793103448,1,0,3
0,0,0.75,0.396679848,0.4482758621,0,0,4
1,0,0.25,0.6946080142,0.5172413793,1,0,2
0.6666666667,0.3333333333,0,0.489832301,0.3103448276,0,0,3
0.6666666667,0.6666666667,0.5,0.5131124801,0.4827586207,0,0,3
0.3333333333,0.6666666667,0.5,0.2680291877,0.6896551724,0,0,4
1,0,0.5,0.4554208414,0.7931034483,0,0,4
0,0,0.5,0.4712732424,0.8620689655,0,0,4
0.6666666667,0,0.25,0.7074018534,0.4827586207,1,0,3
1,0,0.5,0.9416683265,0.3103448276,0,0,2
1,0,0.25,0.3296469341,0.6896551724,1,0,4
0.3333333333,0,0.5,0.04219604739,0.9310344828,0,0,4
0.6666666667,0.6666666667,0.5,0.4968127155,0.2068965517,0,0,2
0.6666666667,1,0.25,0.5450342811,0.8620689655,1,1,4
0,0,0.25,0.1685812566,0.06896551724,0,0,2
0.6666666667,1,0.5,0.7612858203,0.03448275862,0,0,1
0,0,0.5,0.9860083355,0.1724137931,1,0,1
0.6666666667,0,0.25,0.9468089287,0.6896551724,0,0,4
0.3333333333,0,1,0.1972797067,0.275862069,0,0,3
0.6666666667,0.3333333333,0.5,0.8763165428,0.3103448276,1,0,1
0,1,1,0.7052505334,0.1034482759,0,0,2
0,0.3333333333,0.5,0.4543153221,0.8965517241,1,0,4
0.3333333333,0,0.5,0.5411795052,0.06896551724,0,0,2
0.6666666667,0.3333333333,0.75,0.8505238289,0.275862069,0,0,2
0.6666666667,0,0.5,0.4806339399,0.7931034483,0,0,4
0.3333333333,0.6666666667,0.5,0.3735834298,0.724137931,1,0,4
0.6666666667,0.3333333333,0.25,0.4937615623,0.5517241379,0,0,4
0.6666666667,0,0.5,0.5797425814,0.4482758621,1,0,3
0,0.3333333333,0.25,0.1892420783,0.3103448276,0,0,3
0.6666666667,0.3333333333,0.25,0.9018904055,0.4137931034,0,0,3
0.6666666667,0,0,0.6749089968,0.3793103448,1,1,2
0.3333333333,0.3333333333,0,0.6339439127,0.8965517241,0,0,4
0.3333333333,0,1,0.09955770718,0,0,0,1
1,0.6666666667,0.25,0.6048155189,0.9310344828,0,1,4
0,0.6666666667,0.5,0.1210467799,0.724137931,0,0,4
0.6666666667,0.6666666667,0.75,0.07873524988,0.9655172414,0,0,4
0.6666666667,0.3333333333,0.5,0.5278641172,0.6206896552,0,1,4
1,0.3333333333,0.25,0.4031956291,0.6206896552,0,0,4
0.6666666667,0,0.5,0.5894341588,0.1724137931,0,0,2
0,0.6666666667,0.5,0.08927179741,0.4137931034,0,0,3
1,0,0.5,0.4314255412,0.6206896552,0,0,4
0,0,0.5,0.1749347013,0.4137931034,1,0,3
1,0,1,0.988181831,0.8965517241,1,0,4
1,0,0.5,0.5617423144,0.8620689655,0,0,4
0.3333333333,0.3333333333,0.25,0.6881741271,0.724137931,0,0,4
0,0,0.5,0.3257394477,0.6896551724,1,1,4
0.6666666667,0.6666666667,0,0.09479488875,0.1034482759,0,1,2
0.6666666667,0,0.75,0.9769396733,0.7931034483,0,1,4
0,0,0.25,0.2865351854,0.03448275862,0,0,1
0.6666666667,0.3333333333,0.25,0.424242444,0.4827586207,1,0,4
0.6666666667,0,0.75,0.6505579882,0.3793103448,0,0,3
0,0,0.5,0.02467277805,1,1,0,4
1,0.6666666667,0.25,0.8111376076,0.8965517241,1,0,4
0,0,0.5,0.5371420697,0.2068965517,0,1,2
1,0.6666666667,0.75,0.2784840915,0.6551724138,1,0,4
0.6666666667,0,0.25,0.06162590578,0.5862068966,0,0,4
0.6666666667,0,0.75,0.1626322762,0.7586206897,0,0,4
0.6666666667,0.6666666667,0,0.8960097536,0.4137931034,0,0,3
0.3333333333,0,0.5,0.6867598533,0.5517241379,0,1,4
1,0,0.75,0.2501360437,0.1034482759,0,0,2
0.3333333333,0,0.25,0.06562324533,0.8275862069,0,0,4
0.3333333333,0,0.5,0.6913562307,0.4482758621,0,1,4
0,0.6666666667,0.25,0.5730128047,0.6551724138,0,0,4
0.3333333333,0,0.5,0.4049315722,0.9310344828,0,0,4
0,0.6666666667,0.5,0.3639764996,0.4137931034,1,0,4
0,0.6666666667,0.5,0.2170106107,0.06896551724,0,0,1
0.3333333333,0,0.25,0.6703280371,0.8620689655,0,0,4
1,1,0.25,0.9717308928,0.8620689655,0,0,4
1,0,0,0.1758643186,0.5862068966,0,0,4
1,1,0.25,0.5977500567,0.4482758621,0,0,4
1,0,0.5,0.4246197271,0.4827586207,0,0,4
1,0.3333333333,0.75,0.4471492444,0.06896551724,0,0,2
0.3333333333,0,0.5,0.2543865239,0,0,1,2
0.3333333333,0,0.5,0.8260304569,0.8620689655,1,1,4
0.6666666667,0.3333333333,1,0.4857604759,0.7931034483,1,0,4
1,0.6666666667,0.5,0.5439775678,0.5517241379,0,1,4
0.3333333333,0,0.75,0.3050583027,0.06896551724,1,0,1
0.6666666667,0,0.5,0.1819645226,0.4482758621,0,0,4
1,0.6666666667,0.25,0.08595624066,0.06896551724,0,0,2
0,0.3333333333,0,0.7148870976,0.4137931034,1,0,3
0.6666666667,1,0.5,0.1964069546,0.4827586207,0,0,4
0.3333333333,0.6666666667,0.25,0.69081566,0.5862068966,0,0,3
0,1,0.25,0.3907722652,0.4482758621,0,0,4
0,0.6666666667,0.5,0.4161998098,0.6896551724,0,0,4
0,0,0.5,0.4696638946,0.8620689655,0,0,4
0.6666666667,0,0.5,0.3680782591,0.06896551724,0,1,2
0.3333333333,0.6666666667,0.25,0.1006827489,0.6206896552,0,0,4
0,0.3333333333,0.25,0.3099348016,0.2413793103,0,0,3
1,0,0.5,0.6644443818,0.1034482759,1,0,2
0,0,1,0.6664967883,0.1034482759,0,0,1
0,1,0.5,0.2865003954,0.6206896552,1,0,4
0.6666666667,0.3333333333,0.75,0.4605786133,0.3448275862,0,0,3
0.6666666667,0,0.5,0.193616701,0,1,0,1
0.3333333333,0,0.5,0.2105610056,0.2413793103,1,1,2
1,0,0.25,0.0230206812,0.4827586207,0,0,4
0.6666666667,0,0.5,0.8977244223,0,0,0,1
0,0,0.5,0.2108959402,0.2068965517,0,0,3
0.3333333333,0,0.5,0.2277425326,0.6896551724,1,0,4
0,0.6666666667,0.5,0.2798699327,0.6551724138,0,0,4
0,0,0.5,0.127501591,0.6551724138,0,1,4
0.6666666667,0.6666666667,0.25,0.6399448026,0.7931034483,0,0,4
0.3333333333,0.6666666667,0.5,0.0751764138,0.3448275862,1,0,3
1,0,0.25,0.1343038009,0.8965517241,0,0,4
1,0.3333333333,0.75,0.6454449676,0.9655172414,0,0,4
0.6666666667,0,0.25,0.3399981188,0.4482758621,0,1,4
0.6666666667,0.6666666667,0,0.7087087039,0.724137931,1,0,4
0.3333333333,0,0.5,0.5580125821,0.5172413793,0,0,4
1,0.3333333333,0.5,0.2562625278,0.4482758621,0,0,4
1,0.3333333333,0.5,0.6515231463,0.3793103448,0,0,3
1,0,0.25,0.1163544424,0.5517241379,0,0,4
0,0,0.5,0.5369740768,0.4482758621,1,0,3
1,0.3333333333,0.25,0.4375976778,0.3103448276,0,0,2
0,0.6666666667,0.75,0.2681286019,0.7931034483,0,0,4
0.3333333333,0,0.75,0.6046463747,0.9655172414,1,0,4
0,0.3333333333,0.5,0.8722822609,0.4482758621,1,0,3
0.3333333333,0,0.25,1,0.5862068966,0,0,4
1,0.6666666667,0.5,0.6084084442,0.724137931,0,0,4
1,0,0,0.4051181364,0.275862069,1,1,2
0.3333333333,0.6666666667,0.5,0.225413058,0.5517241379,0,0,4
0.6666666667,0,0.25,0.2573387134,0.1724137931,1,0,3
0.3333333333,0,0.75,0.4799532083,0.2413793103,1,1,1
0.6666666667,0,0,0.3676469639,0.8620689655,0,0,4
0,0,0.5,0.9148119914,0.4137931034,1,0,4
0,0.3333333333,0.5,0.3686658837,0.5862068966,0,0,4
0,0,0.5,0.3738209525,0.1379310345,0,0,2
1,0.6666666667,0,0.3839224506,0.1724137931,0,0,3
0,0,1,0.8375289589,0.6896551724,1,1,4
0.6666666667,0,0.5,0.6514834507,0.6206896552,0,0,4
0,0,0.5,0.6148219078,0.1034482759,0,1,1
0.3333333333,0,0.25,0.3344741765,0.2068965517,1,0,2
0.3333333333,0,0.5,0.8187914454,0.1034482759,0,0,1
1,0,0.5,0.03835503734,0.8275862069,0,1,4
0.3333333333,0,0,0.8717451942,0.3448275862,1,0,1
0.6666666667,0,0.25,0.5132863798,0.3793103448,1,0,4
0,0.3333333333,0.75,0.3986551159,0.4482758621,1,0,2
1,0.3333333333,0.25,0.497685868,0.4137931034,1,0,4
0,0,0.25,0.6681298132,0.9655172414,0,0,4
0,0,0.5,0.01272721275,0.3103448276,0,0,4
0.6666666667,1,0.5,0.8725007617,0.5862068966,0,0,4
0.3333333333,0.3333333333,0,0.4472001529,0.5172413793,0,0,4
0.3333333333,0.3333333333,0.5,0.3433078189,0.1379310345,0,1,1
0,0,0.25,0.1383515483,0.2413793103,1,0,3
1,0.6666666667,0,0.4399175914,0.4482758621,0,0,3
0.3333333333,0.6666666667,0,0.4968403472,0.1379310345,0,0,0
1,0.3333333333,0.75,0.4040577689,0.8620689655,0,0,4
0.3333333333,1,0.25,0.6793872885,0.9310344828,0,0,4
1,0,0,0.4213274471,0.7931034483,0,0,4
0.6666666667,0,0.5,0.9624698097,0.2413793103,0,1,1
1,0.6666666667,0.75,0.5999134406,0.8275862069,0,0,4
0.6666666667,0.6666666667,0.25,0.8083532107,0.8620689655,0,0,4
0.6666666667,0,0.5,0.1094286906,0.1724137931,1,0,2
1,0,0,0.3976950636,0.5172413793,1,0,4
0.6666666667,0,0.5,0.3371819855,0.9310344828,0,0,4
0,0,0.5,0.5700840921,0.1034482759,1,0,1
0.6666666667,0.6666666667,0.5,0.8620504132,0.3793103448,0,1,2
0.3333333333,0.3333333333,0.25,0.07837533664,0.3448275862,0,0,3
1,0,0.25,0.07260531179,0.06896551724,0,0,2
0,0,0.25,0.8512422037,0.3793103448,0,0,2
1,0,0.25,0.213041854,1,1,0,4
0.3333333333,0,0,0.6694690509,0.1379310345,0,0,2
0.3333333333,0.3333333333,0.5,0.5434492613,0.1724137931,1,0,2
0.3333333333,1,1,0.8337980753,0.6206896552,0,0,4
0.6666666667,0.6666666667,1,0.1251797752,0.5862068966,0,0,4
0.6666666667,0,0.75,0.1298792208,0.5172413793,1,0,4
1,0.6666666667,0.5,0.5574054851,0.7586206897,0,0,4
1,0.6666666667,0.5,0.9474135729,0.3448275862,0,0,3
0,0.6666666667,0.25,0.4154218666,0.1379310345,0,1,1
0,0,0.5,0.3272649993,0.275862069,0,0,3
1,0,0.5,0.6073337603,0.06896551724,0,0,2
0.6666666667,0,0.5,0.9314652118,1,0,0,4
0.3333333333,0,0.5,0.8378369625,0.2413793103,0,0,2
1,0,0.25,0.9965749675,0.1724137931,0,0,1
0,0,0.25,0.02254163117,0.1034482759,0,0,2
0.6666666667,0,0.75,0.1129349663,0.3793103448,0,0,4
1,0.6666666667,0,0.610115404,0.3793103448,0,0,3
1,0,0.5,0.8214667671,0.8275862069,0,0,4
0.6666666667,0,0.75,0.285519319,0.6896551724,0,0,4
1,1,0.5,0.2394331552,0.5172413793,0,1,4
0.6666666667,1,0.5,0.7878274941,0.3103448276,0,1,2
0.3333333333,0.6666666667,0.25,0.05639374848,0.724137931,0,0,4
0.6666666667,1,0.25,0.3697543334,0.4482758621,0,0,4
0.6666666667,0.3333333333,0.75,0.5063377016,0.4137931034,0,0,4
0.6666666667,1,0.5,0.5609398431,0.275862069,0,1,2
1,0,0.5,0.7293997603,0.2068965517,0,1,1
1,0,0,0.3552006737,0.3793103448,0,0,4
0.6666666667,0,0,0.6133357014,0.1379310345,0,0,2
1,0,1,0.5859953606,0.5862068966,0,1,4
0,0,0.25,0.5481926574,0.1034482759,0,0,2
0,0.3333333333,0.5,0.6411666054,0.03448275862,0,0,2
1,0.6666666667,0,0.2596944682,0.06896551724,1,0,1
1,0.3333333333,0.5,0.08469314043,0.8620689655,0,0,4
0.6666666667,0,0.75,0.1193558384,0.3793103448,1,0,3
0.3333333333,0.6666666667,0.5,0.2247876399,0.06896551724,1,0,1
1,0.3333333333,0.25,0.5007200017,0.1034482759,0,0,1
0,0,0.5,0.8413559028,0.1724137931,0,1,1
0.6666666667,0.3333333333,0.5,0.7020465548,0.3793103448,0,0,4
1,0,0.5,0.7898946676,0.6206896552,0,0,3
0,0,0.75,0.3513261251,0.3103448276,0,0,3
0,1,0.5,0.4050659765,1,1,0,4
0.3333333333,0,0.75,0.3940815147,0,1,1,0
0.6666666667,0,0.5,0.1920408417,0.5517241379,0,1,4
0.6666666667,0.6666666667,0.25,0.06123410594,0.5172413793,0,0,4
0.3333333333,0.6666666667,0.25,0.5915424294,0.275862069,0,0,3
0.3333333333,0,0.25,0.9903008639,0.8275862069,1,0,4
0.6666666667,0,0.75,0.1669685549,0.6896551724,1,0,4
0.6666666667,0,0.5,0.04668555202,0.275862069,1,0,3
1,0.3333333333,0.5,0.7803748374,0.8965517241,0,0,4
1,0,0.25,0.2528234292,0.7586206897,0,1,4
0.3333333333,0,0.25,0.8305445397,0.275862069,0,0,3
1,1,0.5,0.7046928931,0.3793103448,0,0,3
0,0.3333333333,0.5,0.9467076624,0.7586206897,1,0,4
1,0,0.25,0.4093443888,0.275862069,1,0,3
1,0.3333333333,0.5,0.6626778536,0.4827586207,0,0,2
0,0.3333333333,0,0.4653362258,0.03448275862,0,0,2
0.3333333333,0,0.25,0.6312606319,0.3448275862,0,1,3
0,0,0.5,0.4500627896,0.3448275862,1,0,2
1,0.6666666667,0.25,0.1887961663,0.2413793103,0,0,2
0.3333333333,0,1,0.508428302,0.7586206897,0,0,4
1,0.3333333333,0.25,0.5291388808,0.1724137931,0,0,2
0,0,0.25,0.8114827039,0.6896551724,0,0,4
0,0,0.25,0.7363132481,0.6551724138,1,0,4
1,0,0.5,0.6645016976,0.2068965517,0,0,2
0.6666666667,0,0.5,0.1134645243,0.06896551724,0,0,2
0.6666666667,0,0.5,0.7213917159,0.2413793103,0,1,2
0,0,0,0.5008273249,0.5862068966,0,0,4
0,0.6666666667,0,0.8950743796,0.5517241379,0,0,4
0.6666666667,1,0.5,0.9208754031,0.3448275862,0,0,3
0.6666666667,0.6666666667,0.75,0.05516709009,0.03448275862,0,0,2
1,0.6666666667,0.75,0.8215319419,0.8275862069,1,0,4
1,0,0,0.03768782127,0.6896551724,0,0,4
0.6666666667,1,0.5,0.3675387897,0.8965517241,0,0,4
1,0,0.75,0.5428704467,0.7931034483,0,1,4
1,1,0.25,0.1482181266,0.6206896552,0,0,4
0.3333333333,1,0.75,0.7471187544,0.2068965517,0,0,2
1,0.6666666667,0.25,0.008311392726,0.5862068966,1,0,4
0,1,0.75,0.1687399388,0.2413793103,0,0,1
1,0.3333333333,0.5,0.5814115477,0.4482758621,0,0,3
1,0,0.75,0.7151558061,0.2068965517,0,1,1
0.6666666667,0,0.5,0.9176438428,0.9310344828,0,0,4
0,0.3333333333,0.25,0.7062546863,0.6896551724,0,0,4
1,0,0.75,0.6724985292,0.9310344828,0,0,4
1,0.3333333333,0.25,0.3947415225,0.8965517241,0,0,4
0.3333333333,1,0.25,0.001233015687,0.1034482759,0,0,2
1,0,0.5,0.1202444587,0.5517241379,0,0,3
1,0.6666666667,0.5,0.5351160935,0.1379310345,0,0,1
0.3333333333,1,0.75,0.6758530307,0.3793103448,0,0,3
0.6666666667,1,0.25,0.4178752334,0.275862069,0,0,3
1,1,0.5,0.7314659827,0.8620689655,0,0,4
0.3333333333,0.3333333333,0.5,0.5224092542,0.6551724138,1,1,4
0,1,0,0.07420855255,0.4137931034,0,0,4
0.6666666667,0.6666666667,0.25,0.1921840561,0.8275862069,0,0,4
0,0,0.25,0.8409108418,0.9310344828,0,0,4
0,0,0.25,0.7256931045,0.5862068966,1,0,4
0.3333333333,0.6666666667,1,0.8957375911,0.6551724138,1,0,4
1,0,0.5,0.1176394678,0.275862069,0,0,3
0.3333333333,0.3333333333,0.5,0.9913078701,0.1034482759,0,0,1
0.3333333333,0.3333333333,1,0.2095944959,0.6896551724,1,0,4
0.3333333333,0,0.25,0.01174052989,0.8965517241,0,1,4
0.3333333333,0.3333333333,0.75,0.9985165468,0.2413793103,0,0,1
0.6666666667,0.6666666667,0.5,0.2813440752,0,1,1,0
1,0,0.75,0.6687344074,0.5517241379,0,0,4
0,0,0.25,0.1768324802,0.8275862069,0,0,4
0,0,0.75,0.5808425944,0.275862069,1,1,2
1,0,0.25,0.9050212501,0.6551724138,0,0,4
0,1,0.25,0.3204962778,0.4137931034,0,0,3
1,0,0.5,0.670971526,0.03448275862,0,0,1
0,0.3333333333,0.25,0.1880666788,0.4137931034,0,0,3
0.3333333333,0,0.5,0.6254606727,0.275862069,0,0,3
0,0,0.5,0.3367841788,1,0,0,4
1,0.6666666667,0.5,0.2113981167,0.6551724138,0,1,4
1,0.6666666667,0.25,0.3134891325,0.1724137931,1,0,2
1,0,0,0.1789937116,0.9310344828,0,0,4
1,0,0.25,0.9028999145,0,1,0,1
1,0,0.5,0.3975905436,0.9310344828,1,0,4
0.6666666667,0,0.25,0.2455083304,0.8275862069,0,0,4
0.6666666667,0.3333333333,0.25,0.4488703705,0.1379310345,0,1,2
0,0,0.25,0.3208516859,0.06896551724,1,0,1
